evaluator_only,policy_name,policy_kind,fold,aggregation,policy_auroc,oracle_auroc,oracle_regret,policy_ap,oracle_ap,ap_regret,policy_f1,oracle_f1,f1_regret
True,always_winclip,realizable_policy,fold4,macro_run,0.485088272272,0.679746652069,0.194658379797,0.741365760681,0.85541298778,0.114047227099,0.681554244209,0.141258500969,-0.54029574324
True,best_single_expert,evaluator_only_reference,fold0,micro,0.512405614772,0.522373299108,0.00996768433631,0.752410167625,0.758494100058,0.00608393243345,0.0403257076386,0.190792928409,0.15046722077
True,best_single_expert,evaluator_only_reference,fold0,macro_category,0.602904538629,0.623789814855,0.0208852762256,0.80000977368,0.81708148134,0.0170717076601,0.0364184213113,0.159286457032,0.122868035721
True,best_single_expert,evaluator_only_reference,fold0,macro_run,0.636458849272,0.677933061132,0.0414742118599,0.830750391097,0.852601991298,0.0218516002014,0.031747972006,0.103967489953,0.0722195179474
True,best_single_expert,evaluator_only_reference,fold1,micro,0.507801249732,0.528047264105,0.0202460143731,0.747204485972,0.759342394029,0.0121379080579,0.0319501266316,0.25751786011,0.225567733478
True,best_single_expert,evaluator_only_reference,fold1,macro_category,0.605284023841,0.622438105016,0.0171540811754,0.79477353954,0.815235789251,0.0204622497111,0.029889621159,0.223896596627,0.194006975468
True,best_single_expert,evaluator_only_reference,fold1,macro_run,0.6374531002,0.693018399989,0.0555652997894,0.828939363172,0.85755051894,0.0286111557688,0.0280123568675,0.139593579755,0.111581222887
True,best_single_expert,evaluator_only_reference,fold2,micro,0.497313021076,0.518975452181,0.0216624311047,0.74436032223,0.756993133168,0.0126328109375,0.0338785046729,0.25751503006,0.223636525387
True,best_single_expert,evaluator_only_reference,fold2,macro_category,0.589879872478,0.612283251385,0.0224033789071,0.79386923782,0.815069863864,0.0212006260444,0.0332845337614,0.213177414597,0.179892880835
True,best_single_expert,evaluator_only_reference,fold2,macro_run,0.630136298893,0.672594238137,0.0424579392441,0.827675025401,0.8479055824,0.0202305569992,0.0298615877808,0.145106483089,0.115244895308
True,best_single_expert,evaluator_only_reference,fold3,micro,0.523807801377,0.539480834437,0.0156730330595,0.750636847695,0.762939095694,0.012302247999,0.0660557464681,0.267942583732,0.201886837264
True,best_single_expert,evaluator_only_reference,fold3,macro_category,0.61117354226,0.621449591158,0.0102760488986,0.805486934971,0.813165907722,0.00767897275014,0.0592183985861,0.200316537757,0.141098139171
True,best_single_expert,evaluator_only_reference,fold3,macro_run,0.630901908636,0.676770821788,0.0458689131518,0.8287332916,0.849978217243,0.0212449256427,0.0553109537253,0.128965922944,0.073654969219
True,best_single_expert,evaluator_only_reference,fold4,micro,0.510587911882,0.521979353551,0.0113914416684,0.746386174714,0.758226968201,0.0118407934868,0.0487804878049,0.251043231514,0.202262743709
True,best_single_expert,evaluator_only_reference,fold4,macro_category,0.603249731308,0.627364143511,0.0241144122026,0.804284528585,0.825133436424,0.0208489078395,0.0387173141699,0.21409639715,0.17537908298
True,best_single_expert,evaluator_only_reference,fold4,macro_run,0.63135393738,0.679746652069,0.0483927146894,0.832007831803,0.85541298778,0.023405155977,0.0345303984507,0.141258500969,0.106728102518
True,category_prior,realizable_policy,fold0,micro,0.516958170067,0.522373299108,0.00541512904137,0.748999968223,0.758494100058,0.00949413183497,0.11390777145,0.190792928409,0.0768851569593
True,category_prior,realizable_policy,fold0,macro_category,0.612408552651,0.623789814855,0.0113812622037,0.805110083004,0.81708148134,0.011971398336,0.0790477385702,0.159286457032,0.0802387184619
True,category_prior,realizable_policy,fold0,macro_run,0.647820195981,0.677933061132,0.030112865151,0.834795437664,0.852601991298,0.0178065536345,0.0687299116657,0.103967489953,0.0352375782878
True,category_prior,realizable_policy,fold1,micro,0.514258424882,0.528047264105,0.0137888392234,0.744464001645,0.759342394029,0.014878392384,0.150483697599,0.25751786011,0.10703416251
True,category_prior,realizable_policy,fold1,macro_category,0.617015609641,0.622438105016,0.00542249537466,0.802764254591,0.815235789251,0.0124715346601,0.0852556193715,0.223896596627,0.138640977256
True,category_prior,realizable_policy,fold1,macro_run,0.652639811011,0.693018399989,0.0403785889779,0.834625501519,0.85755051894,0.0229250174218,0.0833763774043,0.139593579755,0.0562172023507
True,category_prior,realizable_policy,fold2,micro,0.50736187756,0.518975452181,0.0116135746214,0.744370831125,0.756993133168,0.0126223020431,0.151531434713,0.25751503006,0.105983595348
True,category_prior,realizable_policy,fold2,macro_category,0.602092729643,0.612283251385,0.0101905217417,0.800623767378,0.815069863864,0.0144460964864,0.0890753183193,0.213177414597,0.124102096277
True,category_prior,realizable_policy,fold2,macro_run,0.639780755392,0.672594238137,0.0328134827449,0.831619629404,0.8479055824,0.0162859529968,0.0855516448976,0.145106483089,0.0595548381911
True,category_prior,realizable_policy,fold3,micro,0.521043480185,0.539480834437,0.0184373542518,0.749189673025,0.762939095694,0.0137494226691,0.160227879651,0.267942583732,0.107714704081
True,category_prior,realizable_policy,fold3,macro_category,0.614183123459,0.621449591158,0.00726646769933,0.808967808894,0.813165907722,0.00419809882739,0.100348840599,0.200316537757,0.0999676971581
True,category_prior,realizable_policy,fold3,macro_run,0.646208153252,0.676770821788,0.0305626685368,0.83337254747,0.849978217243,0.0166056697723,0.0951072896209,0.128965922944,0.0338586333234
True,category_prior,realizable_policy,fold4,micro,0.524421752178,0.521979353551,-0.00244239862737,0.7490116834,0.758226968201,0.00921528480095,0.159276339127,0.251043231514,0.0917668923866
True,category_prior,realizable_policy,fold4,macro_category,0.60950866721,0.627364143511,0.0178554763012,0.809300671269,0.825133436424,0.0158327651549,0.102642260617,0.21409639715,0.111454136532
True,category_prior,realizable_policy,fold4,macro_run,0.639642041404,0.679746652069,0.0401046106647,0.834314456676,0.85541298778,0.0210985311039,0.0981365739656,0.141258500969,0.0431219270031
True,category_shot_prior,realizable_policy,fold0,micro,0.525739549538,0.522373299108,-0.0033662504298,0.757987356246,0.758494100058,0.000506743812066,0.246308724832,0.190792928409,-0.0555157964233
True,category_shot_prior,realizable_policy,fold0,macro_category,0.615780298401,0.623789814855,0.00800951645368,0.811236672722,0.81708148134,0.00584480861748,0.195727336807,0.159286457032,-0.0364408797744
True,category_shot_prior,realizable_policy,fold0,macro_run,0.665042251584,0.677933061132,0.0128908095481,0.84558435793,0.852601991298,0.00701763336898,0.122084423077,0.103967489953,-0.0181169331236
True,category_shot_prior,realizable_policy,fold1,micro,0.527442568844,0.528047264105,0.000604695260823,0.759348897801,0.759342394029,-6.50377175526e-06,0.247236180905,0.25751786011,0.0102816792051
True,category_shot_prior,realizable_policy,fold1,macro_category,0.625577125842,0.622438105016,-0.00313902082605,0.816823413008,0.815235789251,-0.00158762375704,0.195490232239,0.223896596627,0.0284063643885
True,category_shot_prior,realizable_policy,fold1,macro_run,0.685652736566,0.693018399989,0.00736566342311,0.854331863059,0.85755051894,0.00321865588173,0.121990220582,0.139593579755,0.0176033591731
True,category_shot_prior,realizable_policy,fold2,micro,0.513280422853,0.518975452181,0.00569502932836,0.753017763031,0.756993133168,0.00397537013697,0.252339572193,0.25751503006,0.00517545786761
True,category_shot_prior,realizable_policy,fold2,macro_category,0.606841928058,0.612283251385,0.00544132332711,0.807590732927,0.815069863864,0.00747913093662,0.203524651606,0.213177414597,0.00965276299071
True,category_shot_prior,realizable_policy,fold2,macro_run,0.662906685064,0.672594238137,0.00968755307298,0.844049861912,0.8479055824,0.00385572048855,0.12819002714,0.145106483089,0.0169164559487
True,category_shot_prior,realizable_policy,fold3,micro,0.516157831846,0.539480834437,0.0233230025907,0.751662758194,0.762939095694,0.0112763375001,0.212620027435,0.267942583732,0.0553225562972
True,category_shot_prior,realizable_policy,fold3,macro_category,0.608051994763,0.621449591158,0.0133975963952,0.808683100401,0.813165907722,0.0044828073209,0.175180420402,0.200316537757,0.0251361173548
True,category_shot_prior,realizable_policy,fold3,macro_run,0.660350836514,0.676770821788,0.0164199852743,0.842920949255,0.849978217243,0.0070572679876,0.112935038604,0.128965922944,0.0160308843405
True,category_shot_prior,realizable_policy,fold4,micro,0.526170942797,0.521979353551,-0.00419158924638,0.758397344882,0.758226968201,-0.000170376681092,0.262322196494,0.251043231514,-0.0112789649796
True,category_shot_prior,realizable_policy,fold4,macro_category,0.614279947106,0.627364143511,0.013084196405,0.814880296799,0.825133436424,0.010253139625,0.210357273221,0.21409639715,0.00373912392905
True,category_shot_prior,realizable_policy,fold4,macro_run,0.669977320217,0.679746652069,0.00976933185225,0.851199834148,0.85541298778,0.0042131536313,0.135913330277,0.141258500969,0.00534517069156
True,cost_aware,realizable_policy,fold0,micro,0.525739549538,0.522373299108,-0.0033662504298,0.757987356246,0.758494100058,0.000506743812066,0.246308724832,0.190792928409,-0.0555157964233
True,cost_aware,realizable_policy,fold0,macro_category,0.615780298401,0.623789814855,0.00800951645368,0.811236672722,0.81708148134,0.00584480861748,0.195727336807,0.159286457032,-0.0364408797744
True,cost_aware,realizable_policy,fold0,macro_run,0.665042251584,0.677933061132,0.0128908095481,0.84558435793,0.852601991298,0.00701763336898,0.122084423077,0.103967489953,-0.0181169331236
True,cost_aware,realizable_policy,fold1,micro,0.527442568844,0.528047264105,0.000604695260823,0.759348897801,0.759342394029,-6.50377175526e-06,0.247236180905,0.25751786011,0.0102816792051
True,cost_aware,realizable_policy,fold1,macro_category,0.625577125842,0.622438105016,-0.00313902082605,0.816823413008,0.815235789251,-0.00158762375704,0.195490232239,0.223896596627,0.0284063643885
True,cost_aware,realizable_policy,fold1,macro_run,0.685652736566,0.693018399989,0.00736566342311,0.854331863059,0.85755051894,0.00321865588173,0.121990220582,0.139593579755,0.0176033591731
True,cost_aware,realizable_policy,fold2,micro,0.513280422853,0.518975452181,0.00569502932836,0.753017763031,0.756993133168,0.00397537013697,0.252339572193,0.25751503006,0.00517545786761
True,cost_aware,realizable_policy,fold2,macro_category,0.606841928058,0.612283251385,0.00544132332711,0.807590732927,0.815069863864,0.00747913093662,0.203524651606,0.213177414597,0.00965276299071
True,cost_aware,realizable_policy,fold2,macro_run,0.662906685064,0.672594238137,0.00968755307298,0.844049861912,0.8479055824,0.00385572048855,0.12819002714,0.145106483089,0.0169164559487
True,cost_aware,realizable_policy,fold3,micro,0.516157831846,0.539480834437,0.0233230025907,0.751662758194,0.762939095694,0.0112763375001,0.212620027435,0.267942583732,0.0553225562972
True,cost_aware,realizable_policy,fold3,macro_category,0.608051994763,0.621449591158,0.0133975963952,0.808683100401,0.813165907722,0.0044828073209,0.175180420402,0.200316537757,0.0251361173548
True,cost_aware,realizable_policy,fold3,macro_run,0.660350836514,0.676770821788,0.0164199852743,0.842920949255,0.849978217243,0.0070572679876,0.112935038604,0.128965922944,0.0160308843405
True,cost_aware,realizable_policy,fold4,micro,0.528276844044,0.521979353551,-0.00629749049339,0.759422133665,0.758226968201,-0.00119516546405,0.262609558459,0.251043231514,-0.0115663269448
True,cost_aware,realizable_policy,fold4,macro_category,0.615398581806,0.627364143511,0.0119655617048,0.815610004067,0.825133436424,0.00952343235705,0.210586289382,0.21409639715,0.00351010776759
True,cost_aware,realizable_policy,fold4,macro_run,0.668042536189,0.679746652069,0.0117041158798,0.850452467795,0.85541298778,0.00496051998453,0.136262893323,0.141258500969,0.00499560764537
True,decision_tree_metadata,realizable_policy,fold0,micro,0.520064307915,0.522373299108,0.00230899119298,0.749249649847,0.758494100058,0.00924445021157,0.306771653543,0.190792928409,-0.115978725134
True,decision_tree_metadata,realizable_policy,fold0,macro_category,0.606340714309,0.623789814855,0.0174491005457,0.794279111662,0.81708148134,0.0228023696776,0.259175150923,0.159286457032,-0.0998886938905
True,decision_tree_metadata,realizable_policy,fold0,macro_run,0.656910155701,0.677933061132,0.0210229054311,0.838780436675,0.852601991298,0.0138215546233,0.153079574932,0.103967489953,-0.0491120849784
True,decision_tree_metadata,realizable_policy,fold1,micro,0.519604828881,0.528047264105,0.00844243522399,0.756689965948,0.759342394029,0.00265242808147,0.184242849623,0.25751786011,0.0732750104869
True,decision_tree_metadata,realizable_policy,fold1,macro_category,0.630051176686,0.622438105016,-0.00761307166947,0.820218410771,0.815235789251,-0.00498262152014,0.150510736328,0.223896596627,0.0733858602991
True,decision_tree_metadata,realizable_policy,fold1,macro_run,0.683473505115,0.693018399989,0.00954489487373,0.853390316241,0.85755051894,0.00416020269893,0.0970909790642,0.139593579755,0.0425026006908
