evaluator_only,policy_name,policy_kind,fold,split,aggregation,status,selected_expert,num_samples,num_normal,num_anomaly,num_categories,num_runs,auroc,ap,f1,oracle_auroc,oracle_regret,selection_agreement_with_oracle,estimated_runtime_ms,average_estimated_runtime_ms,tool_calls,average_tool_calls,num_abstained,abstention_rate
True,category_shot_prior,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.660350836514,0.842920949255,0.112935038604,0.676770821788,0.0164199852743,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.526170942797,0.758397344882,0.262322196494,0.521979353551,-0.00419158924638,0.667536231884,443852.73496,64.3264833275,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.614279947106,0.814880296799,0.210357273221,0.627364143511,0.013084196405,0.683333333333,443852.73496,64.3264833275,6900,1,0,0
True,category_shot_prior,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.669977320217,0.851199834148,0.135913330277,0.679746652069,0.00976933185225,0.683333333333,443852.73496,64.3264833275,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.525739549538,0.757987356246,0.246308724832,0.522373299108,-0.0033662504298,0.751594202899,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.615780298401,0.811236672722,0.195727336807,0.623789814855,0.00800951645368,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.665042251584,0.84558435793,0.122084423077,0.677933061132,0.0128908095481,0.733333333333,447441.138264,64.8465417773,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.527442568844,0.759348897801,0.247236180905,0.528047264105,0.000604695260823,0.813043478261,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,macro_category,ok,,6900,1868,5032,15,60,0.625577125842,0.816823413008,0.195490232239,0.622438105016,-0.00313902082605,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold1,test,macro_run,ok,,6900,1868,5032,15,60,0.685652736566,0.854331863059,0.121990220582,0.693018399989,0.00736566342311,0.783333333333,452827.030981,65.6271059393,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,micro,ok,,6900,1868,5032,15,60,0.513280422853,0.753017763031,0.252339572193,0.518975452181,0.00569502932836,0.647391304348,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,macro_category,ok,,6900,1868,5032,15,60,0.606841928058,0.807590732927,0.203524651606,0.612283251385,0.00544132332711,0.65,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold2,test,macro_run,ok,,6900,1868,5032,15,60,0.662906685064,0.844049861912,0.12819002714,0.672594238137,0.00968755307298,0.65,451835.638887,65.4834259256,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.516157831846,0.751662758194,0.212620027435,0.539480834437,0.0233230025907,0.755652173913,446976.955291,64.7792688828,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.608051994763,0.808683100401,0.175180420402,0.621449591158,0.0133975963952,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
True,cost_aware,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.660350836514,0.842920949255,0.112935038604,0.676770821788,0.0164199852743,0.733333333333,446976.955291,64.7792688828,6900,1,0,0
